gene,importance,mean_non_msi_h,mean_msi_h,higher_in
SRPK3,0.0022508248049896962,4.776264736182523,3.825200430861569,Non-MSI-H
NBPF7,0.0022279542037012224,1.1270846813679316,2.6900596629696443,MSI-H
FBXO16,0.0022206725126928594,3.902304857944526,4.553766104340523,MSI-H
TRPV6,0.0022104070046062,1.7027960454105509,4.0221127259292055,MSI-H
FREM2,0.0021971717478952916,4.561048450466046,1.8314959443487708,Non-MSI-H
TNNC2,0.0021954893053636624,5.970167848187997,3.0746351687105165,Non-MSI-H
TCP10L3,0.0021935910312612995,2.0587418448311516,0.7813318930938866,Non-MSI-H
CEACAM8,0.002181708641686131,2.4102983585695985,1.2981859401107094,Non-MSI-H
DEFB1,0.002138270515975624,4.139605754499156,2.843843243362764,Non-MSI-H
DUOXA2,0.0021343841580283344,5.8434220050051895,4.588241192207912,Non-MSI-H
TRPM6,0.0021311652371708576,5.072882496595729,3.4183412428483955,Non-MSI-H
FAM167A,0.002128635869587447,4.447423316588449,5.540490886863654,MSI-H
GLP2R,0.0021230635730156303,3.182727679833532,2.0624015785137932,Non-MSI-H
ST6GAL1,0.0021069217137521627,8.422801106706029,7.562722606811602,Non-MSI-H
CCAT2,0.0021040610631865722,1.5057641422135732,0.5852366569261113,Non-MSI-H
TRNP1,0.002097488794455905,4.946406190546051,6.142003410065739,MSI-H
PCAT2,0.0020959665876007375,3.6494763549946105,2.520001513488473,Non-MSI-H
OSM,0.002050722465334116,4.587057552412058,5.3321018944560095,MSI-H
LINC00865,0.0020328426592032033,3.465702062045318,2.5291798535388987,Non-MSI-H
NAALADL2,0.002028809461029046,6.308723226824688,4.905084138170096,Non-MSI-H
CACNG4,0.002013012824317712,3.9965897470778247,1.5195521258736162,Non-MSI-H
LOC107986453,0.0020074627074343687,1.959284066562609,0.6498900409959472,Non-MSI-H
TMC2,0.002007142931938042,2.1777035597180388,1.2553333423190074,Non-MSI-H
UPK3A,0.002003764468750463,3.4590844506686245,2.3535222186602556,Non-MSI-H
IL17REL,0.0019933411120345496,1.6411360937741617,2.572910855249022,MSI-H
KRT7,0.001989944387710393,4.9693035883337675,5.993854690156309,MSI-H
ATP6V1C2,0.001974609880515753,5.618182204942194,4.838676067307826,Non-MSI-H
LOC101927136,0.001968349676825616,1.782769221808286,0.5277141177186746,Non-MSI-H
SATB1,0.0019301830329520743,6.924823840370913,6.098701463974431,Non-MSI-H
ELOVL3,0.0019289682448960926,1.6931568940242676,2.71061638455086,MSI-H
AKNAD1,0.001912896306063409,2.7457208075371935,1.2721468864692689,Non-MSI-H
PRLR,0.0019101141533442035,6.606950521907619,5.634477929977547,Non-MSI-H
OGDHL,0.001887427166457809,3.901136773983603,1.9424380689109126,Non-MSI-H
CXCL11,0.001879922341639241,5.41681629563299,6.075309366757734,MSI-H
PID1,0.0018775230030088413,6.344112686578552,5.613815799905227,Non-MSI-H
DRD1,0.0018755829859573175,2.485489749740131,1.3532876094052104,Non-MSI-H
