Pathway,Gene,Effect,p_value
IL-2/STAT5 Signaling,CA2,0.4689790885566092,0.0038118113036385588
Complement,CA2,0.4689790885566092,0.0038118113036385588
Interferon Gamma Response,IL6,0.4670055605750054,0.011677044336428327
Inflammatory Response,IL6,0.4670055605750054,0.011677044336428327
IL-6/JAK/STAT3 Signaling,IL6,0.4670055605750054,0.011677044336428327
Complement,IL6,0.4670055605750054,0.011677044336428327
TNF-alpha Signaling via NF-kB,IL6,0.4670055605750054,0.011677044336428327
Allograft Rejection,IL6,0.4670055605750054,0.011677044336428327
IL-2/STAT5 Signaling,ST3GAL4,0.4640690285820561,0.0007809635038648472
Inflammatory Response,SELL,0.46315121326764785,0.003053853677671569
IL-2/STAT5 Signaling,SELL,0.46315121326764785,0.003053853677671569
Pperoxisome,ABCC8,0.4563994342574098,0.0033348652712133467
Allograft Rejection,FYB1,0.45338146130983326,0.0033568719161397005
TNF-alpha Signaling via NF-kB,GFPT2,0.4507042993015231,0.019771090064413615
Interferon Gamma Response,IFI44,0.4496856804303846,0.0010746842043471243
IL-2/STAT5 Signaling,CD48,0.4482679294161116,0.0009777810961964484
Inflammatory Response,CD48,0.4482679294161116,0.0009777810961964484
Complement,PIK3R5,0.4451719909409251,0.0010686362492835647
IL-6/JAK/STAT3 Signaling,PIK3R5,0.4451719909409251,0.0010686362492835647
Inflammatory Response,PIK3R5,0.4451719909409251,0.0010686362492835647
TNF-alpha Signaling via NF-kB,FOSL1,0.44260165980249866,0.0006543920715648733
Inflammatory Response,C5AR1,0.437059679623216,0.001123262349634551
TNF-alpha Signaling via NF-kB,TNC,0.4320307943951862,0.01636918771799271
Allograft Rejection,GZMB,0.427495808599077,0.005593966173467111
Complement,GZMB,0.427495808599077,0.005593966173467111
Inflammatory Response,IL10,0.42616677986367657,0.0016951492973604598
Allograft Rejection,IL10,0.42616677986367657,0.0016951492973604598
IL-2/STAT5 Signaling,IL10,0.42616677986367657,0.0016951492973604598
IL-2/STAT5 Signaling,GPR65,0.4184014206235389,0.0021604128330134716
Allograft Rejection,GPR65,0.4184014206235389,0.0021604128330134716
Allograft Rejection,CCR2,0.41612156179368887,0.01629266789903751
Allograft Rejection,PRKCB,0.4131767725404165,0.0029119370779389997
Complement,S100A9,0.41193194268906463,0.0219050470906738
Glycolysis,PYGL,0.4096863820804284,0.002992636005664268
IL-2/STAT5 Signaling,ICOS,0.40965641541231657,0.0032546076986672114
TNF-alpha Signaling via NF-kB,SERPINE1,0.4073752288608903,0.018076789102170244
Complement,SERPINE1,0.4073752288608903,0.018076789102170244
Inflammatory Response,SERPINE1,0.4073752288608903,0.018076789102170244
Inflammatory Response,RGS1,0.40301324555542895,0.005111950675371007
Complement,F5,0.39764636021210187,0.09149079958767904
Interferon Gamma Response,FGL2,0.3972195224814614,0.005330898184361785
mTORC1 Signaling,FGL2,0.3972195224814614,0.005330898184361785
IL-2/STAT5 Signaling,FGL2,0.3972195224814614,0.005330898184361785
IL-2/STAT5 Signaling,NRP1,0.3954836888777242,0.0034833514270642234
IL-6/JAK/STAT3 Signaling,CSF2,0.3942067273158778,0.010476661643685457
IL-2/STAT5 Signaling,CSF2,0.3942067273158778,0.010476661643685457
TNF-alpha Signaling via NF-kB,CSF2,0.3942067273158778,0.010476661643685457
Inflammatory Response,P2RX7,0.38460701996706614,0.006960459414797871
Interferon Gamma Response,CSF2RB,0.38224876333639024,0.010117152464062884
IL-6/JAK/STAT3 Signaling,CSF2RB,0.38224876333639024,0.010117152464062884
IL-6/JAK/STAT3 Signaling,CCR1,0.3822072300058963,0.005103376142869818
Allograft Rejection,CCR1,0.3822072300058963,0.005103376142869818
Complement,PLA2G7,0.3792336239464662,0.0029823296325075105
Allograft Rejection,MMP9,0.37821173518349127,0.029623715758645412
Inflammatory Response,ADGRE1,0.37322255864031906,0.02896273375673456
IL-2/STAT5 Signaling,IKZF2,0.35824899934847476,0.0065474771399126695
TNF-alpha Signaling via NF-kB,SLC2A3,0.3576438990477815,0.012855342328618267
IL-2/STAT5 Signaling,SLC2A3,0.3576438990477815,0.012855342328618267
mTORC1 Signaling,SLC2A3,0.3576438990477815,0.012855342328618267
Complement,PIK3CG,0.3469193080502233,0.0533075968170762
Inflammatory Response,CD40,0.3395791052862176,0.014933009450498172
Interferon Gamma Response,CD40,0.3395791052862176,0.014933009450498172
Allograft Rejection,CD40,0.3395791052862176,0.014933009450498172
Allograft Rejection,CD8B,0.3363230847117382,0.020782713333569812
Interferon Gamma Response,CD38,0.3340672611960267,0.021160965948526893
IL-6/JAK/STAT3 Signaling,CD38,0.3340672611960267,0.021160965948526893
TNF-alpha Signaling via NF-kB,CXCL1,0.32506654083559017,0.016022225976107057
Complement,CXCL1,0.32506654083559017,0.016022225976107057
IL-6/JAK/STAT3 Signaling,CXCL1,0.32506654083559017,0.016022225976107057
mTORC1 Signaling,STC1,0.3219489453635642,0.024532241701483316
Glycolysis,STC1,0.3219489453635642,0.024532241701483316
Inflammatory Response,ITGA5,0.31201747192788876,0.035506995878777356
Allograft Rejection,HLA-DOB,0.3050221796925383,0.04363525303150976
Inflammatory Response,IL1A,0.30317472187543704,0.05921711038272409
TNF-alpha Signaling via NF-kB,IL1A,0.30317472187543704,0.05921711038272409
IL-2/STAT5 Signaling,CST7,0.29937124414823746,0.01925344448250606
Glycolysis,DPYSL4,0.29774425173188757,0.04920117729577607
IL-2/STAT5 Signaling,AHNAK,0.2967418361314653,0.010584439066191186
Glycolysis,GNE,0.288977404720705,0.033026592650311666
Allograft Rejection,IRF4,0.28566119531861656,0.08591632777152824
IL-2/STAT5 Signaling,IRF4,0.28566119531861656,0.08591632777152824
Interferon Gamma Response,IRF4,0.28566119531861656,0.08591632777152824
Complement,FN1,0.28023268771658927,0.2297233779975577
IL-2/STAT5 Signaling,NT5E,0.2767135253397992,0.018488378875871014
Glycolysis,NT5E,0.2767135253397992,0.018488378875871014
Complement,GNB4,0.27107836147345044,0.0705848217981399
Glycolysis,LCT,0.27029977404525685,0.1078564393552362
Complement,SERPING1,0.2694953409727221,0.06577207495505034
Interferon Gamma Response,SERPING1,0.2694953409727221,0.06577207495505034
Pperoxisome,ALDH1A1,0.2688512461202839,0.08291575340369013
Inflammatory Response,KCNA3,0.26719983672679737,0.09431424781122026
Complement,DOCK10,0.2642793360561777,0.04932340329843777
IL-6/JAK/STAT3 Signaling,OSMR,0.2628204481995242,0.12069905651959249
Inflammatory Response,OSMR,0.2628204481995242,0.12069905651959249
TNF-alpha Signaling via NF-kB,CXCL2,0.257489699097567,0.06306005941381226
Inflammatory Response,SLAMF1,0.2549417357386021,0.09618844405288766
TNF-alpha Signaling via NF-kB,GPR183,0.2512678312873682,0.08516032361019676
Inflammatory Response,GPR183,0.2512678312873682,0.08516032361019676
Complement,CFH,0.24934447854563313,0.12629475467537085
Interferon Gamma Response,CFH,0.24934447854563313,0.12629475467537085
TNF-alpha Signaling via NF-kB,NR4A3,0.248113989887484,0.07397323295302549
IL-2/STAT5 Signaling,HOPX,0.2469868637320074,0.17193111939686567
TNF-alpha Signaling via NF-kB,SLC16A6,0.24686297159606374,0.07677924355094246
Inflammatory Response,IL7R,0.2396331305195769,0.12020005201145974
TNF-alpha Signaling via NF-kB,IL7R,0.2396331305195769,0.12020005201145974
TNF-alpha Signaling via NF-kB,CXCL3,0.23789950319518116,0.04294606491446548
IL-6/JAK/STAT3 Signaling,CXCL3,0.23789950319518116,0.04294606491446548
Complement,C3,0.2359327687895334,0.25190179736730767
Interferon Gamma Response,IFIT1,0.23202993522364057,0.1373961001785578
IL-2/STAT5 Signaling,BATF,0.22416158427821742,0.16435480651873824
TNF-alpha Signaling via NF-kB,EGR3,0.2202537573084875,0.14343515504697427
Allograft Rejection,LY86,0.22003797319133778,0.10361177747258835
TNF-alpha Signaling via NF-kB,G0S2,0.21619345702918036,0.13629483100969128
IL-2/STAT5 Signaling,TLR7,0.2118311496419092,0.18958488314517397
Complement,KLKB1,0.2089732725616611,0.13934872683063512
Inflammatory Response,DCBLD2,0.20532701055317037,0.5789882198536318
Glycolysis,GPC3,0.20292651492504898,0.0775906424866781
Inflammatory Response,GPC3,0.20292651492504898,0.0775906424866781
Inflammatory Response,CCL2,0.19691949934170871,0.20076564705876898
TNF-alpha Signaling via NF-kB,CCL2,0.19691949934170871,0.20076564705876898
Allograft Rejection,CCL2,0.19691949934170871,0.20076564705876898
Interferon Gamma Response,CCL2,0.19691949934170871,0.20076564705876898
mTORC1 Signaling,NIBAN1,0.19489581113239307,0.15175513227630824
TNF-alpha Signaling via NF-kB,FOS,0.18731900485753172,0.21780324453814914
Interferon Gamma Response,XCL1,0.1752665224409644,0.06964685656466951
Allograft Rejection,INHBA,0.17457133650291645,0.33946580999451903
TNF-alpha Signaling via NF-kB,INHBA,0.17457133650291645,0.33946580999451903
Inflammatory Response,INHBA,0.17457133650291645,0.33946580999451903
Inflammatory Response,SELE,0.16528659051377836,0.33603479886961696
Complement,ERAP2,0.15925844270351153,0.40538956821581784
Allograft Rejection,CD28,0.14322906304623695,0.29144008925631926
Complement,PHEX,0.13713057035253362,0.3135512361761197
Inflammatory Response,GABBR1,0.12894142835137856,0.37291844770840277
IL-2/STAT5 Signaling,CD79B,0.12690674450877815,0.4071433126429558
Complement,KLK1,0.12487181773234379,0.175732275354322
Inflammatory Response,CCR7,0.12263903702311563,0.349840374731038
Glycolysis,VCAN,0.12199471551667784,0.5609144118537803
IL-2/STAT5 Signaling,SCN9A,0.12018307807982387,0.6228904447370539
Inflammatory Response,SLC28A2,0.11954918508452383,0.6648098822078228
TNF-alpha Signaling via NF-kB,CXCL6,0.1151884463250652,0.5542350426559441
Inflammatory Response,CXCL6,0.1151884463250652,0.5542350426559441
Interferon Gamma Response,VCAM1,0.11398514898615453,0.435793828650768
Complement,CASP5,0.11278460295420345,0.7477990237117045
Complement,CD36,0.10832095712637457,0.5757749693148448
IL-6/JAK/STAT3 Signaling,CD36,0.10832095712637457,0.5757749693148448
mTORC1 Signaling,FADS2,0.10517327528453624,0.6174035720151714
Allograft Rejection,SIT1,0.10453570783368793,0.4642673443490202
IL-6/JAK/STAT3 Signaling,ITGA4,0.10277573606156487,0.46523644686770693
Allograft Rejection,CCL19,0.09954383358421026,0.6133344896449446
mTORC1 Signaling,FADS1,0.09909595223877243,0.48720968015913335
Pperoxisome,FADS1,0.09909595223877243,0.48720968015913335
Glycolysis,COL5A1,0.09733737365954198,0.6835196387781817
TNF-alpha Signaling via NF-kB,EGR2,0.08995315598835152,0.41011492590124976
Complement,CR2,0.08692816693336658,0.6682172526293579
Inflammatory Response,IL1R1,0.08266006973029327,0.611167750560744
IL-6/JAK/STAT3 Signaling,IL1R1,0.08266006973029327,0.611167750560744
Complement,TIMP2,0.0804933694296377,0.6858207549201233
Allograft Rejection,CCL22,0.07670482183137395,0.8399095687295519
Inflammatory Response,CCL22,0.07670482183137395,0.8399095687295519
TNF-alpha Signaling via NF-kB,CCN1,0.07024246198081485,0.5406973838952417
Interferon Gamma Response,P2RY14,0.06956634512926918,0.7395004682612597
Allograft Rejection,IL11,0.0658702377200262,0.7660563381865311
Allograft Rejection,ACHE,0.048254330959339065,0.5757774599758512
IL-2/STAT5 Signaling,CCR4,0.0481234931836827,0.8784365086003653
Complement,C1R,0.04530786979245072,0.9180981212041622
Interferon Gamma Response,C1R,0.04530786979245072,0.9180981212041622
Complement,DGKG,0.04236091165496969,0.9621138405250008
Pperoxisome,CACNA1B,0.04212682778477439,0.5459835227164511
IL-6/JAK/STAT3 Signaling,CSF2RA,0.0400160725657388,0.9330251387683086
Allograft Rejection,ICOSLG,0.0303407339301498,0.8098179647076537
TNF-alpha Signaling via NF-kB,ICOSLG,0.0303407339301498,0.8098179647076537
Inflammatory Response,ICOSLG,0.0303407339301498,0.8098179647076537
mTORC1 Signaling,IGFBP5,0.025661814175121478,0.822812833321986
Glycolysis,ALDOB,0.017170291530476334,0.6218216056801618
Inflammatory Response,PCDH7,0.0159471904537698,0.8256559470877433
