gene,importance,0,1,2,highest_in,lowest_in
PTPRR,0.0012422701315762358,5.215155508383753,6.05622109944781,5.515294696748572,1,0
RNU4-2,0.0012392552720510276,1.791869609518485,1.7069900798429591,1.4764293981980334,0,2
TNNT1,0.0012362194508367802,3.136835068766407,5.4954847666175946,3.299108862515818,1,0
CHRNA7,0.001234751322129618,2.0952661788864297,3.9253059155250853,2.38023969940925,1,0
CLDN18,0.0012275570845748677,2.304441098240628,5.248652003226918,2.7982072787503465,1,0
NKD2,0.0012226561459267881,6.6679451945854264,5.27392271174327,6.502531301952454,0,1
DRD2,0.001221652014377117,3.9665014946548616,1.8676541353915102,3.8246289196967433,0,1
SDR42E1,0.0012211100499689384,5.888177029682622,4.242210102056036,5.774458252689298,0,1
H2BC8,0.001204409688129925,3.6864298205830117,2.8609037788023612,3.5992239670314596,0,1
TRPM6,0.0012031611312130625,5.068577271562363,3.340409098342463,5.041321850326008,0,1
